CGPA,Internships,Projects,AptitudeScore,CommunicationSkill,Salary
8.99,1,7,98,1,1551574.76
5.75,3,7,94,7,1540033.36
6.15,2,1,70,4,1234316.39
8.61,2,4,81,2,1592872.64
8.6,4,2,49,5,1562571.02
8.21,4,2,71,3,1567632.74
8.47,2,2,98,6,1622118.78
7.71,4,4,73,8,1815495.9
6.26,3,1,48,7,1362317.36
6.73,0,4,56,3,1128293.2
5.91,3,2,50,8,1311563.57
9.54,2,5,71,2,1682171.59
7.92,2,3,49,9,1701139.95
7.0,3,8,61,4,1478160.71
7.31,4,4,96,1,1544530.21
9.74,4,1,56,8,1854688.11
5.77,5,1,43,7,1417559.71
7.93,2,3,87,5,1621759.55
7.53,1,9,91,5,1659364.99
8.06,5,7,86,7,1838480.43
5.09,4,2,64,5,1286859.28
9.36,3,9,98,8,2137300.96
9.66,4,2,60,6,1849721.49
7.83,3,3,76,5,1602383.7
8.48,5,2,77,9,1864660.66
9.61,2,3,88,2,1726348.14
8.54,4,6,40,1,1579706.99
5.76,3,9,64,8,1524428.86
7.88,2,9,90,3,1726314.75
8.03,1,7,75,7,1700183.47
7.12,3,3,56,8,1573856.85
8.68,5,4,80,6,1862782.23
9.67,1,6,63,9,1905500.33
9.63,1,5,41,7,1802144.96
7.25,0,2,79,5,1408653.75
5.57,4,6,54,8,1550992.35
9.92,3,3,71,2,1717628.22
9.19,1,8,78,7,1911258.59
5.62,0,2,98,4,1136684.35
9.6,5,1,45,9,1951172.15
9.35,2,9,40,1,1599325.6
7.59,3,3,86,7,1570809.75
7.96,1,1,62,6,1376894.92
7.0,4,7,97,8,1792851.06
5.27,0,5,78,5,1212157.7
6.68,1,5,96,1,1271496.01
9.01,4,1,56,1,1484644.16
5.02,1,9,73,9,1494563.05
6.67,3,7,98,6,1631649.39
6.99,3,8,80,5,1695340.36
7.69,3,9,68,1,1600056.19
9.6,5,6,48,6,1937094.07
6.73,5,5,52,6,1616273.07
6.73,0,6,45,3,1243462.02
8.69,3,2,45,8,1685516.74
7.26,4,4,59,1,1431281.73
6.12,1,3,91,1,1222845.1
7.26,2,7,92,6,1614578.24
5.7,4,9,42,1,1282677.43
5.88,5,5,56,6,1495725.19
7.49,5,6,88,1,1645280.97
7.09,4,2,51,6,1471607.08
9.57,5,3,87,3,1824511.98
6.81,3,3,86,8,1628649.98
7.9,0,9,84,6,1724067.96
8.16,1,7,94,1,1466231.14
5.07,0,8,40,5,1077159.69
8.32,1,9,56,8,1735374.75
5.89,1,6,42,3,1135671.15
9.81,0,4,65,6,1623920.86
5.74,4,1,54,5,1350709.76
7.07,1,8,75,6,1556884.67
5.43,0,7,71,1,1065594.77
9.98,1,2,71,7,1871731.88
7.51,2,8,43,9,1726089.67
7.98,4,5,57,2,1506828.91
5.34,3,7,88,5,1438030.39
8.75,1,4,58,4,1531913.14
6.05,2,5,82,6,1509417.54
9.49,3,8,91,6,1993428.79
6.03,3,1,74,2,1128497.02
5.95,1,1,79,2,1012138.79
5.18,0,4,53,4,1114358.07
7.36,1,3,97,1,1299769.27
7.82,2,2,72,9,1697910.58
5.33,3,3,53,7,1307188.17
8.88,1,1,73,7,1618767.26
7.27,0,1,94,3,1286407.63
7.62,1,6,43,3,1442568.89
7.2,4,5,63,1,1345596.83
7.0,0,8,98,3,1434677.24
7.8,2,2,68,3,1455328.29
5.78,3,4,58,4,1213442.75
5.91,1,8,45,4,1320064.14
9.31,0,6,96,3,1719812.49
9.73,4,1,72,8,1942189.78
6.87,0,4,88,8,1483242.15
6.35,5,1,79,1,1243421.69
8.22,4,2,58,7,1725752.29
7.04,2,5,92,2,1563232.25
5.13,3,8,40,1,1132894.63
5.78,2,8,44,3,1154297.73
8.58,1,3,66,4,1535475.82
8.29,0,4,55,6,1542813.15
5.14,5,6,45,5,1305907.38
6.11,4,3,79,4,1372924.4
6.16,4,2,52,8,1427831.09
8.36,0,6,87,4,1547631.81
5.1,5,5,74,2,1280391.84
5.52,0,5,58,3,1038354.94
9.0,1,5,51,6,1586208.11
5.89,2,5,55,8,1425518.77
8.26,4,3,98,8,1871066.9
6.19,1,7,82,9,1551987.91
5.5,2,6,49,7,1341159.49
6.22,1,4,64,2,1092391.21
8.61,5,2,59,8,1843360.15
9.28,4,9,70,7,2007815.59
9.15,0,1,43,8,1583974.47
6.99,0,4,83,3,1327782.46
8.34,2,1,62,7,1648357.56
6.02,3,6,41,9,1510547.72
6.47,5,4,95,3,1584735.94
9.48,2,5,61,6,1769504.34
5.07,3,5,90,2,1219691.12
5.43,1,9,96,2,1290053.59
6.04,5,1,76,5,1466506.25
5.13,1,2,47,5,1088147.95
5.91,4,6,46,7,1483953.59
7.92,5,5,53,2,1503013.23
7.11,3,7,95,7,1773852.96
9.46,4,3,94,5,1849129.77
9.09,0,3,42,6,1486005.13
6.71,3,2,89,8,1535275.75
6.3,2,3,55,4,1251841.56
6.9,0,1,94,7,1475586.21
7.95,0,5,58,6,1444731.97
6.34,2,5,90,2,1419728.8
8.12,5,7,57,8,1935890.51
7.05,0,4,91,9,1505769.9
7.76,3,3,55,5,1502061.24
7.18,4,1,47,4,1335587.49
6.47,0,8,99,6,1546647.77
9.74,3,3,72,8,1880391.83
8.82,1,2,88,3,1461344.03
5.7,3,4,51,1,1110713.71
9.34,4,3,92,4,1890269.7
7.44,3,1,50,4,1368174.19
9.47,2,3,44,1,1503322.19
9.0,4,2,66,9,1909861.55
7.13,5,8,51,3,1502986.22
5.11,1,6,56,5,1136231.29
6.34,2,9,45,6,1461123.21
7.71,5,8,72,8,1883332.25
8.17,3,3,44,6,1662622.73
6.29,4,5,96,3,1426383.88
5.7,1,7,67,6,1304536.99
9.17,2,5,53,1,1538927.21
9.92,5,8,44,4,1901005.33
7.63,5,5,93,6,1665008.37
5.86,1,1,95,7,1439934.06
6.36,3,5,98,3,1398484.73
5.09,1,4,72,9,1364844.64
9.57,5,6,89,7,2032730.44
5.59,0,3,87,1,1003648.25
7.88,2,5,80,2,1409453.35
6.37,1,2,58,1,1041340.33
7.77,5,6,61,9,1843185.91
8.26,3,6,44,9,1776571.72
9.15,5,5,98,7,2028371.56
6.03,3,6,41,3,1194524.01
5.05,1,7,69,5,1211805.01
5.68,3,5,86,4,1446950.53
9.5,4,1,78,7,1945419.53
9.37,4,8,43,9,2036184.35
7.99,4,4,72,2,1587954.96
8.0,0,9,52,8,1764041.14
8.33,1,6,59,9,1765162.38
5.88,5,1,93,9,1651809.49
9.57,5,3,46,7,1813170.85
7.09,0,3,54,9,1392168.47
6.92,3,4,62,9,1624765.48
7.59,0,6,53,3,1299427.89
5.23,3,7,62,4,1248702.24
5.83,3,4,58,2,1159477.05
8.69,2,6,93,3,1620621.47
5.41,5,1,68,5,1288630.78
8.02,4,8,95,5,1864371.78
6.23,3,7,59,6,1579416.2
6.95,2,9,68,7,1682849.11
6.44,5,3,63,7,1598607.77
6.78,4,2,57,1,1193423.33
8.6,3,1,49,2,1439964.84
6.49,3,3,80,9,1600452.0
7.83,0,5,96,2,1447137.05
7.38,0,2,47,6,1298565.63
8.32,5,3,65,1,1641503.84
9.68,4,4,68,3,1788238.78
8.66,3,7,49,2,1598711.17
6.07,5,3,56,3,1243277.99
5.16,5,9,41,5,1411866.22
6.31,1,8,45,6,1439662.97
7.98,0,4,97,9,1736378.78
5.26,4,1,44,4,1040420.45
7.48,3,1,67,7,1531116.25
7.98,5,1,80,6,1799194.97
6.67,3,1,44,2,1179867.96
8.85,1,8,57,8,1819120.8
5.53,4,3,65,7,1494550.46
5.38,5,6,59,7,1494869.29
8.64,3,3,80,8,1861351.49
7.48,0,5,88,1,1347169.79
8.44,1,7,66,1,1507057.44
7.17,4,2,88,8,1713360.78
6.23,1,6,51,4,1233218.51
9.1,0,6,46,5,1557610.12
9.0,4,3,98,8,1926271.19
8.47,1,6,42,5,1460414.54
6.36,2,5,49,4,1357426.5
7.95,0,2,73,6,1463504.15
6.8,0,9,64,5,1492708.01
5.46,0,8,74,7,1435468.63
9.59,2,3,55,7,1773470.87
5.68,2,8,41,4,1198925.54
9.75,3,9,99,5,2032190.59
7.23,5,3,63,3,1468042.82
